k, n, p, q, poverq, eigenvectors, conductance, rand
5, 1000, 0.01, 0.001, 10.0, 1, 0.9474027622503941, 0.6574567073414683
5, 1000, 0.01, 0.001, 10.0, 2, 0.6436893037077096, 0.8146371834366872
5, 1000, 0.01, 0.001, 10.0, 3, 0.3756434337075715, 0.9512978275655131
5, 1000, 0.01, 0.001, 10.0, 4, 0.31325660254706367, 0.9812917143428687
5, 1000, 0.01, 0.001, 10.0, 5, 0.28187226965267426, 0.995807473494699
5, 1000, 0.01, 0.002, 5.0, 1, 0.9383981744585708, 0.6591401560312063
5, 1000, 0.01, 0.002, 5.0, 2, 0.6877845807595184, 0.7650776635327065
5, 1000, 0.01, 0.002, 5.0, 3, 0.5192923484282195, 0.898663524704941
5, 1000, 0.01, 0.002, 5.0, 4, 0.4791219129494072, 0.9446712942588519
5, 1000, 0.01, 0.002, 5.0, 5, 0.43874760722567696, 0.9718757831566315
5, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9502757724799562, 0.6588865773154631
5, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.7048159214521287, 0.7299415723144629
5, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.6286981036835309, 0.8202439847969594
5, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.5975725707841676, 0.8679531426285256
5, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.5459199432815701, 0.9050356551310262
5, 1000, 0.01, 0.004, 2.5, 1, 0.9349548847051299, 0.6606854410882177
5, 1000, 0.01, 0.004, 2.5, 2, 0.7266654672489465, 0.6978840088017602
5, 1000, 0.01, 0.004, 2.5, 3, 0.6970885216997054, 0.7453336427285457
5, 1000, 0.01, 0.004, 2.5, 4, 0.6628749799009077, 0.7694075455091018
5, 1000, 0.01, 0.004, 2.5, 5, 0.6331291033774379, 0.7759519103820766
5, 1000, 0.01, 0.005, 2.0, 1, 0.9296243271802715, 0.6596564272854571
5, 1000, 0.01, 0.005, 2.0, 2, 0.7577375942814981, 0.6692942028405682
5, 1000, 0.01, 0.005, 2.0, 3, 0.7166792627143006, 0.690493098619724
5, 1000, 0.01, 0.005, 2.0, 4, 0.6930270440575861, 0.6929926545309061
5, 1000, 0.01, 0.005, 2.0, 5, 0.6654327749601362, 0.6928433526705342
5, 1000, 0.01, 0.006, 1.6666666666666667, 1, 0.9404708367757729, 0.6566355671134227
5, 1000, 0.01, 0.006, 1.6666666666666667, 2, 0.7645322535995012, 0.6622097699539908
5, 1000, 0.01, 0.006, 1.6666666666666667, 3, 0.7202440715821494, 0.6792497459491899
5, 1000, 0.01, 0.006, 1.6666666666666667, 4, 0.7071413975011028, 0.6801579275855171
5, 1000, 0.01, 0.006, 1.6666666666666667, 5, 0.6748454734392261, 0.6818525945189038
5, 1000, 0.01, 0.007, 1.4285714285714286, 1, 0.9336636906362165, 0.6593897419483896
5, 1000, 0.01, 0.007, 1.4285714285714286, 2, 0.7723030312731063, 0.6622703740748149
5, 1000, 0.01, 0.007, 1.4285714285714286, 3, 0.7208346907474154, 0.6768851450290058
5, 1000, 0.01, 0.007, 1.4285714285714286, 4, 0.713082312748873, 0.6792471854370874
5, 1000, 0.01, 0.007, 1.4285714285714286, 5, 0.6833318718989513, 0.6804167553510703
5, 1000, 0.01, 0.008, 1.25, 1, 0.9322523923335652, 0.6589191598319664
5, 1000, 0.01, 0.008, 1.25, 2, 0.7859044036048213, 0.6611811962392478
5, 1000, 0.01, 0.008, 1.25, 3, 0.730609254726948, 0.6769326425285056
5, 1000, 0.01, 0.008, 1.25, 4, 0.7144300788979128, 0.6791316343268655
5, 1000, 0.01, 0.008, 1.25, 5, 0.6877165841068491, 0.6801530786157232
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 1, 0.9330740351905227, 0.6602054330866174
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 2, 0.7911247469503422, 0.6610277815563113
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 3, 0.7252710713699497, 0.6772872734546909
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 4, 0.7221732830050449, 0.6786906981396278
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 5, 0.6982608708352067, 0.6800013362672536
5, 1000, 0.01, 0.01, 1.0, 1, 0.9240893086504034, 0.6606136587317464
5, 1000, 0.01, 0.01, 1.0, 2, 0.7978545056830212, 0.6615838447689538
5, 1000, 0.01, 0.01, 1.0, 3, 0.7307034561720516, 0.6769653290658132
5, 1000, 0.01, 0.01, 1.0, 4, 0.7277987489284804, 0.6787506861372273
5, 1000, 0.01, 0.01, 1.0, 5, 0.7004551280972275, 0.6800592838567713
