k, n, p, q, poverq, eigenvectors, conductance, rand
5, 1000, 0.01, 0.001, 10.0, 1, 0.950286698412747, 0.6574050170034007
5, 1000, 0.01, 0.001, 10.0, 2, 0.7069131175864326, 0.7808702060412082
5, 1000, 0.01, 0.001, 10.0, 3, 0.5603594129489189, 0.8958856411282257
5, 1000, 0.01, 0.001, 10.0, 4, 0.34557652934502603, 0.9716760632126427
5, 1000, 0.01, 0.001, 10.0, 5, 0.29021377454849806, 0.9954249809961994
5, 1000, 0.01, 0.002, 5.0, 1, 0.9425037299682966, 0.6589073414682937
5, 1000, 0.01, 0.002, 5.0, 2, 0.7057032469957651, 0.75417325065013
5, 1000, 0.01, 0.002, 5.0, 3, 0.6445587164520751, 0.8544819923984797
5, 1000, 0.01, 0.002, 5.0, 4, 0.5735438352670272, 0.9124423444688936
5, 1000, 0.01, 0.002, 5.0, 5, 0.4508622348359374, 0.9693250890178036
5, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9427862441338604, 0.6557282096419284
5, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.7125474311069082, 0.7137860532106421
5, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.7291157410061561, 0.7755441088217645
5, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.6202710595550313, 0.8497610642128427
5, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.5582233687869941, 0.895244648929786
5, 1000, 0.01, 0.004, 2.5, 1, 0.9331081522870901, 0.6623415163032607
5, 1000, 0.01, 0.004, 2.5, 2, 0.7397513552203824, 0.6822149709941989
5, 1000, 0.01, 0.004, 2.5, 3, 0.7002872297524436, 0.7166048409681937
5, 1000, 0.01, 0.004, 2.5, 4, 0.6814360187038124, 0.743473374674935
5, 1000, 0.01, 0.004, 2.5, 5, 0.6392899630244451, 0.7613548469693938
5, 1000, 0.01, 0.005, 2.0, 1, 0.9259151574388416, 0.6599681776355271
5, 1000, 0.01, 0.005, 2.0, 2, 0.7648236048339853, 0.6636473214642928
5, 1000, 0.01, 0.005, 2.0, 3, 0.7136561456144602, 0.6807626805361071
5, 1000, 0.01, 0.005, 2.0, 4, 0.6962841800406082, 0.6840080256051211
5, 1000, 0.01, 0.005, 2.0, 5, 0.6684386382137409, 0.6853943428685737
5, 1000, 0.01, 0.006, 1.6666666666666667, 1, 0.931588451905539, 0.6611017243448689
5, 1000, 0.01, 0.006, 1.6666666666666667, 2, 0.7712035854226722, 0.6606565153030606
5, 1000, 0.01, 0.006, 1.6666666666666667, 3, 0.7212008798520775, 0.6777407961592318
5, 1000, 0.01, 0.006, 1.6666666666666667, 4, 0.7098620884446873, 0.6796174674934987
5, 1000, 0.01, 0.006, 1.6666666666666667, 5, 0.6816017509982033, 0.6807867173434687
5, 1000, 0.01, 0.007, 1.4285714285714286, 1, 0.9363135668884072, 0.6594280776155231
5, 1000, 0.01, 0.007, 1.4285714285714286, 2, 0.775222760056546, 0.6618231966393279
5, 1000, 0.01, 0.007, 1.4285714285714286, 3, 0.7246768910082247, 0.6775805081016204
5, 1000, 0.01, 0.007, 1.4285714285714286, 4, 0.7139204881082203, 0.6790850090018004
5, 1000, 0.01, 0.007, 1.4285714285714286, 5, 0.6877516134498816, 0.6803243208641729
5, 1000, 0.01, 0.008, 1.25, 1, 0.9180039823609336, 0.6615037007401481
5, 1000, 0.01, 0.008, 1.25, 2, 0.7876554952417039, 0.6606592838567714
5, 1000, 0.01, 0.008, 1.25, 3, 0.7302782503062042, 0.6773482296459293
5, 1000, 0.01, 0.008, 1.25, 4, 0.7203453157395618, 0.6787315703140628
5, 1000, 0.01, 0.008, 1.25, 5, 0.6945935470351171, 0.6800300700140028
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 1, 0.9241364304087053, 0.6586175075015004
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 2, 0.791776786799085, 0.6611162392478496
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 3, 0.7282501765793562, 0.6765846369273855
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 4, 0.7229974032893944, 0.6791937427485497
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 5, 0.699625252294932, 0.6800655571114222
5, 1000, 0.01, 0.01, 1.0, 1, 0.9255297399611093, 0.6584553710742148
5, 1000, 0.01, 0.01, 1.0, 2, 0.7951502204744509, 0.6616840088017603
5, 1000, 0.01, 0.01, 1.0, 3, 0.7297698830080851, 0.6767054690938188
5, 1000, 0.01, 0.01, 1.0, 4, 0.7288016364692386, 0.6788122584516904
5, 1000, 0.01, 0.01, 1.0, 5, 0.7053823848514458, 0.6798928185637128
