k, n, p, q, poverq, eigenvectors, conductance, rand
5, 1000, 0.01, 0.001, 10.0, 1, 0.948667650859168, 0.6584799599919984
5, 1000, 0.01, 0.001, 10.0, 2, 0.5313442392695569, 0.8732846249249849
5, 1000, 0.01, 0.001, 10.0, 3, 0.170083036585908, 0.9990091778355671
5, 1000, 0.01, 0.001, 10.0, 4, 0.17010474670246406, 0.9977650650130027
5, 1000, 0.01, 0.001, 10.0, 5, 0.1700902158829441, 0.9972711982396477
5, 1000, 0.01, 0.002, 5.0, 1, 0.9544707737775608, 0.6542152750550111
5, 1000, 0.01, 0.002, 5.0, 2, 0.6014994664088549, 0.8605165913182636
5, 1000, 0.01, 0.002, 5.0, 3, 0.2899993247995737, 0.9972875455091019
5, 1000, 0.01, 0.002, 5.0, 4, 0.2914343784040979, 0.9869994558911781
5, 1000, 0.01, 0.002, 5.0, 5, 0.29224847100306606, 0.9809223924784956
5, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9514300556438592, 0.6596918983796758
5, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.6633605695619009, 0.8385976555311062
5, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.3783813195764804, 0.9950330466093218
5, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.38941686127631125, 0.9464818403680738
5, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.3970049467822342, 0.912820820164033
5, 1000, 0.01, 0.004, 2.5, 1, 0.9496600871789681, 0.6602611882376476
5, 1000, 0.01, 0.004, 2.5, 2, 0.6951207542786169, 0.8381588877775557
5, 1000, 0.01, 0.004, 2.5, 3, 0.44768455567065885, 0.9926287657531507
5, 1000, 0.01, 0.004, 2.5, 4, 0.5115072289260076, 0.8906408161632327
5, 1000, 0.01, 0.004, 2.5, 5, 0.5303742583450097, 0.8066039527905581
5, 1000, 0.01, 0.005, 2.0, 1, 0.9407027876332054, 0.6580162192438488
5, 1000, 0.01, 0.005, 2.0, 2, 0.7362810998655013, 0.8276048489697938
5, 1000, 0.01, 0.005, 2.0, 3, 0.5006645633881769, 0.9905526545309062
5, 1000, 0.01, 0.005, 2.0, 4, 0.5393796011375439, 0.895812946589318
5, 1000, 0.01, 0.005, 2.0, 5, 0.5496155895669259, 0.8030843608721744
5, 1000, 0.01, 0.006, 1.6666666666666667, 1, 0.9410938849490101, 0.6606016403280656
5, 1000, 0.01, 0.006, 1.6666666666666667, 2, 0.7589357042371051, 0.8298405041008202
5, 1000, 0.01, 0.006, 1.6666666666666667, 3, 0.5462680135748121, 0.9892173554710944
5, 1000, 0.01, 0.006, 1.6666666666666667, 4, 0.566933019979125, 0.8925186477295458
5, 1000, 0.01, 0.006, 1.6666666666666667, 5, 0.5820760059902834, 0.8040961472294459
5, 1000, 0.01, 0.007, 1.4285714285714286, 1, 0.9368347846733226, 0.6585358111622325
5, 1000, 0.01, 0.007, 1.4285714285714286, 2, 0.765489863825062, 0.8342692778555711
5, 1000, 0.01, 0.007, 1.4285714285714286, 3, 0.5825540853266252, 0.9877812282456493
5, 1000, 0.01, 0.007, 1.4285714285714286, 4, 0.5805334094149883, 0.8789726425285057
5, 1000, 0.01, 0.007, 1.4285714285714286, 5, 0.593044292012385, 0.8080119943988798
5, 1000, 0.01, 0.008, 1.25, 1, 0.928836588959785, 0.6621621524304862
5, 1000, 0.01, 0.008, 1.25, 2, 0.7892512601003273, 0.8342017443488698
5, 1000, 0.01, 0.008, 1.25, 3, 0.6122122665405655, 0.9871096459291857
5, 1000, 0.01, 0.008, 1.25, 4, 0.6034565578421206, 0.8906236767353471
5, 1000, 0.01, 0.008, 1.25, 5, 0.5909353358291742, 0.8046159711942389
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 1, 0.9448834253157914, 0.6563908701740349
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 2, 0.8117086734649597, 0.8319994478895779
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 3, 0.639772235304034, 0.987046377275455
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 4, 0.6305357366480375, 0.8926893778755751
5, 1000, 0.01, 0.009000000000000001, 1.111111111111111, 5, 0.6060898445423903, 0.7985798439687939
5, 1000, 0.01, 0.01, 1.0, 1, 0.9333589148754922, 0.659348949789958
5, 1000, 0.01, 0.01, 1.0, 2, 0.827742331971993, 0.831728025605121
5, 1000, 0.01, 0.01, 1.0, 3, 0.6627851911596474, 0.986656947389478
5, 1000, 0.01, 0.01, 1.0, 4, 0.6452591318335981, 0.8834111542308463
5, 1000, 0.01, 0.01, 1.0, 5, 0.6180263640455083, 0.807471598319664
