k, n, p, q, poverq, eigenvectors, conductance, rand
16, 1000, 0.01, 0.001, 10.0, 1, 0.9974368240175305, 0.8670110038127383
16, 1000, 0.01, 0.001, 10.0, 2, 0.8590924939816261, 0.9196688324270268
16, 1000, 0.01, 0.001, 10.0, 3, 0.3160169275091635, 0.9916233702106382
16, 1000, 0.01, 0.001, 10.0, 4, 0.3093359101200674, 0.9908886672604538
16, 1000, 0.01, 0.001, 10.0, 5, 0.2944526702513492, 0.9955194043377711
16, 1000, 0.01, 0.001, 10.0, 6, 0.2898903732924453, 0.9995135375648478
16, 1000, 0.01, 0.001, 10.0, 7, 0.2898859331610228, 0.9994465654103382
16, 1000, 0.01, 0.001, 10.0, 8, 0.2899170576340999, 0.9995164307144195
16, 1000, 0.01, 0.001, 10.0, 9, 0.29000964466050966, 0.999525726607913
16, 1000, 0.01, 0.001, 10.0, 10, 0.2898664372870514, 0.9996037252328271
16, 1000, 0.01, 0.001, 10.0, 11, 0.28994493846450264, 0.9995055753484591
16, 1000, 0.01, 0.001, 10.0, 12, 0.2899353135496063, 0.9994884313082067
16, 1000, 0.01, 0.001, 10.0, 13, 0.2898749457946724, 0.9994479139321208
16, 1000, 0.01, 0.001, 10.0, 14, 0.28987771178614374, 0.9992814722795174
16, 1000, 0.01, 0.001, 10.0, 15, 0.2897438927930398, 0.9991228826801676
16, 1000, 0.01, 0.001, 10.0, 16, 0.290083496617913, 0.9986539549346836
16, 1000, 0.01, 0.002, 5.0, 1, 0.9952300375597056, 0.8710620398149885
16, 1000, 0.01, 0.002, 5.0, 2, 0.8657156917600963, 0.9184653189261829
16, 1000, 0.01, 0.002, 5.0, 3, 0.45953411003138084, 0.9936596498218637
16, 1000, 0.01, 0.002, 5.0, 4, 0.45772973311653953, 0.9913168221451342
16, 1000, 0.01, 0.002, 5.0, 5, 0.45161983724743215, 0.9961621335708483
16, 1000, 0.01, 0.002, 5.0, 6, 0.44733735049152024, 0.9992444129320583
16, 1000, 0.01, 0.002, 5.0, 7, 0.4472289128891321, 0.9989667432339522
16, 1000, 0.01, 0.002, 5.0, 8, 0.4473714879237959, 0.9989647181073815
16, 1000, 0.01, 0.002, 5.0, 9, 0.4471303765260116, 0.9988668502718919
16, 1000, 0.01, 0.002, 5.0, 10, 0.4469336296837151, 0.9988854756547285
16, 1000, 0.01, 0.002, 5.0, 11, 0.44689800063037366, 0.9984858584911558
16, 1000, 0.01, 0.002, 5.0, 12, 0.4466669809236258, 0.9979791244765298
16, 1000, 0.01, 0.002, 5.0, 13, 0.44642150013352155, 0.9975725623476468
16, 1000, 0.01, 0.002, 5.0, 14, 0.44634621485339254, 0.9959107475467217
16, 1000, 0.01, 0.002, 5.0, 15, 0.4456193106813028, 0.994067835489718
16, 1000, 0.01, 0.002, 5.0, 16, 0.445586709807125, 0.994071927151697
16, 1000, 0.01, 0.003, 3.3333333333333335, 1, 0.9901509001845733, 0.873669798112382
16, 1000, 0.01, 0.003, 3.3333333333333335, 2, 0.8523680195408696, 0.9209227607975498
16, 1000, 0.01, 0.003, 3.3333333333333335, 3, 0.5560844328820507, 0.9950529126820428
16, 1000, 0.01, 0.003, 3.3333333333333335, 4, 0.5540575496731002, 0.9921216599474969
16, 1000, 0.01, 0.003, 3.3333333333333335, 5, 0.576932134675476, 0.9952800003125197
16, 1000, 0.01, 0.003, 3.3333333333333335, 6, 0.5488733242961807, 0.9990585919432464
16, 1000, 0.01, 0.003, 3.3333333333333335, 7, 0.5487269887892972, 0.9984570824739046
16, 1000, 0.01, 0.003, 3.3333333333333335, 8, 0.5487828015785864, 0.9983570926307894
16, 1000, 0.01, 0.003, 3.3333333333333335, 9, 0.5489267996879404, 0.9980006555097193
16, 1000, 0.01, 0.003, 3.3333333333333335, 10, 0.5473925436955076, 0.9979085653790861
16, 1000, 0.01, 0.003, 3.3333333333333335, 11, 0.547572338063028, 0.9962176143821487
16, 1000, 0.01, 0.003, 3.3333333333333335, 12, 0.5473696191452506, 0.9946077864241516
16, 1000, 0.01, 0.003, 3.3333333333333335, 13, 0.5470259876514209, 0.9931166682292645
16, 1000, 0.01, 0.003, 3.3333333333333335, 14, 0.5506184983854655, 0.9921359100568786
16, 1000, 0.01, 0.003, 3.3333333333333335, 15, 0.5508823028956666, 0.9921036189761863
16, 1000, 0.01, 0.003, 3.3333333333333335, 16, 0.5590547083654378, 0.9890263828989312
16, 1000, 0.01, 0.004, 2.5, 1, 0.9916947422242268, 0.8679367538596162
16, 1000, 0.01, 0.004, 2.5, 2, 0.8602275705506077, 0.9241290416588536
16, 1000, 0.01, 0.004, 2.5, 3, 0.6234600143783975, 0.9960146774798424
16, 1000, 0.01, 0.004, 2.5, 4, 0.622561421281056, 0.9924426596974809
16, 1000, 0.01, 0.004, 2.5, 5, 0.6209001947099557, 0.9960703379898744
16, 1000, 0.01, 0.004, 2.5, 6, 0.6186561342826827, 0.9989411947621726
16, 1000, 0.01, 0.004, 2.5, 7, 0.6180822712528627, 0.9978259930308144
16, 1000, 0.01, 0.004, 2.5, 8, 0.6177881572561239, 0.9975665486905431
16, 1000, 0.01, 0.004, 2.5, 9, 0.6175369169496842, 0.9970366999499968
16, 1000, 0.01, 0.004, 2.5, 10, 0.6154177749858, 0.996790614257141
16, 1000, 0.01, 0.004, 2.5, 11, 0.6148852132185312, 0.9931367483905245
